Barrio;Distrito;Room Type;Accommodates;Bathrooms;Price;Cleaning Fee;Extra People;Minimum Nights;Availability 30;Review Scores Rating;Cancellation Policy;image_path
53.37840290381125;62.620535714285715;76.61518093556928;4;1.0;83.0;0.0;20;3;10;80.0;61.91305785123967;model/images\image-17017812.jpg
45.84375;45.457142857142856;76.61518093556928;4;1.0;60.0;0.0;20;1;12;78.0;57.50543900543901;model/images\image-15144970.jpg
43.05882352941177;34.140845070422536;32.39297210300429;1;0.5;24.0;20.0;5;5;10;97.0;61.91305785123967;model/images\image-1112289.jpg
46.54545454545455;46.7008547008547;76.61518093556928;6;1.0;90.0;50.0;0;3;0;89.0;61.91305785123967;model/images\image-11342179.jpg
59.074074074074076;58.2013769363167;76.61518093556928;4;1.0;100.0;20.0;0;2;17;96.0;57.50543900543901;model/images\image-6951548.jpg
53.37840290381125;62.620535714285715;76.61518093556928;3;1.0;45.0;20.0;10;3;10;100.0;61.91305785123967;model/images\image-17222895.jpg
69.01379310344828;62.620535714285715;32.39297210300429;4;1.0;20.0;12.0;15;1;7;75.0;57.50543900543901;model/images\image-876372.jpg
72.5973282442748;62.620535714285715;76.61518093556928;4;1.0;64.0;25.0;10;2;3;97.0;61.91305785123967;model/images\image-15486531.jpg
53.37840290381125;62.620535714285715;76.61518093556928;4;1.0;90.0;30.0;0;2;0;95.0;57.50543900543901;model/images\image-12245230.jpg
45.64242424242424;42.639405204460964;32.39297210300429;1;1.0;90.0;0.0;0;2;29;91.97563176895306;48.861111111111114;model/images\image-15672343.jpg
61.69064748201439;62.620535714285715;32.39297210300429;1;1.5;30.0;0.0;0;2;0;50.0;48.861111111111114;model/images\image-11686391.jpg
71.54838709677419;63.680851063829785;32.39297210300429;1;1.0;35.0;0.0;30;2;10;89.0;48.861111111111114;model/images\image-1516910.jpg
40.857142857142854;42.5;32.39297210300429;2;1.0;45.0;5.0;25;1;29;80.0;57.50543900543901;model/images\image-16819315.jpg
45.64242424242424;42.639405204460964;32.39297210300429;1;1.0;17.0;0.0;17;1;4;90.0;57.50543900543901;model/images\image-883037.jpg
59.074074074074076;58.2013769363167;32.39297210300429;1;1.0;45.0;0.0;0;1;0;91.97563176895306;48.861111111111114;model/images\image-3745044.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;1.0;38.0;0.0;12;1;0;90.0;48.861111111111114;model/images\image-15726578.jpg
76.59322033898304;60.36462093862816;76.61518093556928;5;1.0;110.0;20.0;0;2;1;98.0;48.861111111111114;model/images\image-16909270.jpg
35.810810810810814;49.3515625;32.39297210300429;2;1.0;25.0;0.0;12;2;14;91.97563176895306;48.861111111111114;model/images\image-17947501.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;1.0;26.0;0.0;0;2;6;91.97563176895306;48.861111111111114;model/images\image-17844827.jpg
61.69064748201439;62.620535714285715;76.61518093556928;6;2.0;150.0;50.0;20;2;14;87.0;57.50543900543901;model/images\image-9483963.jpg
65.49375;62.620535714285715;76.61518093556928;2;1.0;65.0;30.0;0;2;0;95.0;57.50543900543901;model/images\image-9406582.jpg
53.37840290381125;62.620535714285715;76.61518093556928;6;2.0;150.0;30.0;20;2;2;99.0;57.50543900543901;model/images\image-9045230.jpg
65.49375;62.620535714285715;76.61518093556928;4;1.0;59.0;20.0;12;3;2;91.0;57.50543900543901;model/images\image-2431155.jpg
43.24;47.84858044164038;76.61518093556928;2;1.0;26.0;0.0;0;2;0;100.0;48.861111111111114;model/images\image-13710484.jpg
64.85915492957747;62.620535714285715;76.61518093556928;4;1.0;75.0;20.0;5;1;4;94.0;57.50543900543901;model/images\image-16450772.jpg
74.50344827586207;68.73872180451127;32.39297210300429;2;1.0;90.0;0.0;0;1;30;87.0;61.91305785123967;model/images\image-3314361.jpg
53.37840290381125;62.620535714285715;32.39297210300429;1;1.0;34.0;20.0;0;2;9;98.0;61.91305785123967;model/images\image-8641179.jpg
69.01379310344828;62.620535714285715;76.61518093556928;2;1.0;89.0;0.0;0;1;15;91.97563176895306;48.861111111111114;model/images\image-14566789.jpg
50.46666666666667;60.36462093862816;76.61518093556928;2;1.0;50.0;0.0;0;3;0;100.0;48.861111111111114;model/images\image-16733965.jpg
41.53061224489796;35.107883817427386;32.39297210300429;2;1.5;70.0;15.0;0;2;30;91.97563176895306;48.861111111111114;model/images\image-13389130.jpg
59.074074074074076;58.2013769363167;76.61518093556928;4;1.0;75.0;30.0;20;1;15;100.0;61.91305785123967;model/images\image-17897946.jpg
62.6;57.91588785046729;76.61518093556928;6;1.0;59.0;15.0;10;3;0;89.0;61.91305785123967;model/images\image-4652871.jpg
53.37840290381125;62.620535714285715;76.61518093556928;4;1.0;65.0;0.0;10;3;11;96.0;61.91305785123967;model/images\image-551966.jpg
59.074074074074076;58.2013769363167;32.39297210300429;4;1.5;33.0;40.0;30;4;30;66.0;61.91305785123967;model/images\image-1787569.jpg
65.49375;62.620535714285715;32.39297210300429;1;0.5;25.0;0.0;0;1;30;91.97563176895306;48.861111111111114;model/images\image-9001305.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;2.0;46.0;0.0;0;3;24;91.97563176895306;48.861111111111114;model/images\image-17580509.jpg
65.49375;62.620535714285715;76.61518093556928;4;1.0;65.0;0.0;10;2;2;96.0;61.91305785123967;model/images\image-618576.jpg
35.26712328767123;32.661921708185055;76.61518093556928;4;1.0;33.0;60.0;5;1;1;93.0;57.50543900543901;model/images\image-13415859.jpg
69.01379310344828;62.620535714285715;76.61518093556928;5;1.0;140.0;30.0;30;3;0;100.0;57.50543900543901;model/images\image-15785737.jpg
65.49375;62.620535714285715;32.39297210300429;2;1.0;30.0;0.0;0;2;11;98.0;48.861111111111114;model/images\image-15157819.jpg
55.270270270270274;68.73872180451127;76.61518093556928;4;1.0;60.0;30.0;10;2;0;100.0;61.91305785123967;model/images\image-14829973.jpg
57.63235294117647;68.73872180451127;76.61518093556928;3;1.0;42.0;30.0;12;4;9;88.0;57.50543900543901;model/images\image-15541976.jpg
53.37840290381125;62.620535714285715;76.61518093556928;2;1.0;39.0;0.0;0;2;7;85.0;57.50543900543901;model/images\image-15317223.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;1.0;34.0;0.0;0;2;2;88.0;61.91305785123967;model/images\image-2246753.jpg
53.37840290381125;62.620535714285715;76.61518093556928;6;1.0;96.0;25.0;15;2;0;100.0;48.861111111111114;model/images\image-16489427.jpg
53.37840290381125;62.620535714285715;76.61518093556928;2;1.0;70.0;9.0;19;1;1;92.0;57.50543900543901;model/images\image-189512.jpg
43.375;36.78431372549019;32.39297210300429;2;1.0;29.0;0.0;5;1;20;93.0;48.861111111111114;model/images\image-11504109.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;2.0;25.0;15.0;10;3;0;91.97563176895306;61.91305785123967;model/images\image-13384536.jpg
50.0;57.91588785046729;76.61518093556928;6;2.5;90.0;0.0;0;14;0;91.97563176895306;48.861111111111114;model/images\image-16768677.jpg
72.5973282442748;62.620535714285715;76.61518093556928;2;1.0;99.0;50.0;0;3;1;97.0;48.861111111111114;model/images\image-6008086.jpg
50.53125;68.73872180451127;76.61518093556928;4;1.0;60.0;25.0;10;2;6;94.0;61.91305785123967;model/images\image-14125592.jpg
35.26712328767123;32.661921708185055;32.39297210300429;2;1.0;35.0;0.0;0;1;0;90.0;61.91305785123967;model/images\image-12786739.jpg
53.88970588235294;58.2013769363167;76.61518093556928;2;1.0;47.0;0.0;0;2;0;91.97563176895306;61.91305785123967;model/images\image-13664039.jpg
44.4537037037037;42.639405204460964;76.61518093556928;4;2.0;90.0;0.0;25;3;7;92.0;61.91305785123967;model/images\image-6023704.jpg
53.37840290381125;62.620535714285715;32.39297210300429;2;1.0;30.0;0.0;10;2;0;92.0;57.50543900543901;model/images\image-8965478.jpg
41.0;42.639405204460964;32.39297210300429;4;1.0;65.0;12.0;0;2;15;90.0;61.91305785123967;model/images\image-15815848.jpg
61.69064748201439;62.620535714285715;76.61518093556928;3;1.0;62.0;19.0;28;2;10;94.0;57.50543900543901;model/images\image-9506096.jpg
48.62264150943396;58.2013769363167;32.39297210300429;1;2.0;14.0;0.0;0;1;0;96.0;48.861111111111114;model/images\image-16305644.jpg
35.810810810810814;49.3515625;32.39297210300429;1;2.0;38.0;19.0;0;1;28;91.97563176895306;48.861111111111114;model/images\image-16411092.jpg
40.666666666666664;42.65909090909091;32.39297210300429;1;1.0;30.0;0.0;0;3;0;95.0;48.861111111111114;model/images\image-4367064.jpg
72.5973282442748;62.620535714285715;32.39297210300429;2;1.0;49.0;6.0;15;1;3;87.0;48.861111111111114;model/images\image-3988601.jpg
53.88970588235294;58.2013769363167;76.61518093556928;4;1.5;90.0;49.0;11;4;8;80.0;48.861111111111114;model/images\image-14833545.jpg
69.01379310344828;62.620535714285715;76.61518093556928;4;1.0;65.0;25.0;15;1;1;95.0;61.91305785123967;model/images\image-14003798.jpg
45.64242424242424;42.639405204460964;76.61518093556928;4;1.0;90.0;30.0;15;2;15;91.0;57.50543900543901;model/images\image-14434928.jpg
64.85915492957747;62.620535714285715;76.61518093556928;2;1.0;48.0;5.0;0;2;4;100.0;57.50543900543901;model/images\image-17826948.jpg
