Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;image_path
Puerta del Angel;Latina;Apartment;Entire home/apt;6;1.0;2.0;5.0;50.0;150.0;;1;10;2;1125;0;0;0;249;1;100.0;8.0;10.0;10.0;10.0;8.0;10.0;moderate;0.05;model/images\image-4692629.jpg
Universidad;Centro;Loft;Entire home/apt;4;1.0;1.0;2.0;85.0;300.0;30.0;2;15;2;1125;5;26;52;327;30;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.3;model/images\image-11597128.jpg
Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;2.0;77.0;250.0;11.0;1;10;1;1125;0;0;0;242;0;;;;;;;;flexible;;model/images\image-1739666.jpg
Justicia;Centro;Apartment;Private room;1;1.0;1.0;1.0;19.0;100.0;5.0;1;0;3;180;0;0;0;8;11;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.27;model/images\image-16223120.jpg
Embajadores;Centro;Bed & Breakfast;Private room;1;1.0;1.0;1.0;45.0;;;1;0;2;1125;4;8;31;274;98;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;3.16;model/images\image-1973442.jpg
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;90.0;;;1;0;1;1125;18;48;76;351;63;97.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;2.44;model/images\image-4831482.jpg
Palacio;Centro;House;Private room;1;2.0;1.0;1.0;39.0;150.0;17.0;1;10;2;4;4;14;30;97;39;86.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;2.97;model/images\image-11135042.jpg
Valverde;Fuencarral - El Pardo;Apartment;Private room;1;2.0;1.0;1.0;25.0;;10.0;1;0;1;60;10;37;67;342;3;93.0;10.0;9.0;10.0;9.0;8.0;9.0;flexible;1.34;model/images\image-16974614.jpg
Lucero;Latina;Apartment;Private room;3;1.0;1.0;2.0;20.0;;10.0;1;7;1;1125;4;19;31;302;21;77.0;8.0;8.0;8.0;9.0;7.0;8.0;strict;1.26;model/images\image-9247274.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;50.0;100.0;10.0;2;10;2;1125;2;16;31;304;134;90.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;6.26;model/images\image-6897847.jpg
Trafalgar;Chamberí;Condominium;Private room;2;1.0;1.0;1.0;40.0;97.0;10.0;1;10;2;7;10;40;70;71;0;;;;;;;;moderate;;model/images\image-18087133.jpg
Sol;Centro;Apartment;Private room;2;2.0;1.0;1.0;38.0;200.0;10.0;1;20;1;1125;11;41;71;71;22;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.95;model/images\image-6299647.jpg
Pacífico;Retiro;Apartment;Private room;2;1.0;1.0;1.0;26.0;;;1;5;1;1125;25;55;85;360;9;95.0;9.0;8.0;9.0;9.0;9.0;9.0;flexible;0.34;model/images\image-5124827.jpg
Trafalgar;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;3.0;120.0;150.0;50.0;4;0;2;1125;16;39;67;337;7;97.0;9.0;9.0;10.0;10.0;10.0;10.0;flexible;1.0;model/images\image-14913422.jpg
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;1.0;78.0;250.0;50.0;1;0;2;1125;19;42;72;347;5;100.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;0.86;model/images\image-15325195.jpg
Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;2.0;78.0;150.0;30.0;4;10;2;1125;3;23;48;100;14;99.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;3.23;model/images\image-15835083.jpg
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.5;1.0;1.0;115.0;;100.0;2;0;7;180;11;14;41;41;4;85.0;8.0;8.0;10.0;9.0;10.0;7.0;strict;0.13;model/images\image-1797544.jpg
Palacio;Centro;House;Private room;2;1.0;1.0;2.0;32.0;;14.0;1;15;1;99999;8;38;68;127;23;90.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;0.9;model/images\image-5458016.jpg
Valverde;Fuencarral - El Pardo;Apartment;Entire home/apt;7;2.0;3.0;5.0;100.0;175.0;40.0;3;10;2;120;7;19;34;99;31;90.0;10.0;9.0;9.0;10.0;9.0;9.0;moderate;3.84;model/images\image-14278486.jpg
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;75.0;200.0;25.0;2;20;2;1125;12;30;49;314;15;91.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;2.39;model/images\image-15158024.jpg
Pacífico;Retiro;Apartment;Private room;2;1.0;1.0;1.0;18.0;;;3;12;1;1125;2;5;11;242;119;91.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;9.83;model/images\image-11916120.jpg
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;45.0;;10.0;1;0;1;1125;10;24;40;315;18;78.0;8.0;9.0;10.0;10.0;10.0;8.0;strict;1.75;model/images\image-8467431.jpg
Cortes;Centro;House;Entire home/apt;4;2.0;2.0;4.0;128.0;200.0;20.0;1;0;1;1125;6;24;45;319;88;90.0;9.0;9.0;9.0;9.0;10.0;9.0;flexible;4.18;model/images\image-7264569.jpg
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;65.0;;;1;0;3;1125;0;0;0;0;0;;;;;;;;flexible;;model/images\image-13585476.jpg
Almendrales;Usera;Hostel;Entire home/apt;2;1.0;0.0;1.0;47.0;;;1;0;5;1125;0;0;13;185;7;91.0;10.0;9.0;10.0;10.0;8.0;9.0;moderate;0.59;model/images\image-12007794.jpg
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;45.0;;6.0;1;0;2;1125;28;58;88;178;0;;;;;;;;flexible;;model/images\image-16305394.jpg
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;100.0;;;1;0;2;1125;5;5;5;72;4;100.0;10.0;10.0;10.0;8.0;10.0;8.0;flexible;1.54;model/images\image-16403148.jpg
Concepción;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;1.0;2.0;50.0;750.0;;2;20;7;1125;2;32;62;337;0;;;;;;;;flexible;;model/images\image-17306054.jpg
Castellana;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;50.0;;;1;0;3;1125;2;4;4;101;0;;;;;;;;flexible;;model/images\image-17896731.jpg
Cármenes;Latina;House;Private room;1;1.0;1.0;1.0;40.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;flexible;;model/images\image-10118816.jpg
Fuente del Berro;Salamanca;Villa;Entire home/apt;5;1.5;3.0;5.0;130.0;;20.0;1;0;3;1125;1;1;14;45;10;94.0;9.0;10.0;10.0;10.0;9.0;10.0;moderate;0.31;model/images\image-2975510.jpg
Pacífico;Retiro;Apartment;Private room;1;1.0;1.0;1.0;19.0;;10.0;1;0;2;1125;0;0;0;0;1;86.0;10.0;8.0;8.0;8.0;8.0;8.0;flexible;0.02;model/images\image-526162.jpg
Adelfas;Retiro;Apartment;Private room;2;1.0;1.0;2.0;26.0;100.0;9.0;1;0;2;1125;12;42;72;347;3;100.0;10.0;10.0;10.0;9.0;9.0;9.0;moderate;1.08;model/images\image-15886709.jpg
Opañel;Carabanchel;House;Private room;2;1.0;1.0;1.0;16.0;;5.0;1;10;3;1125;0;0;8;9;2;80.0;9.0;10.0;10.0;9.0;10.0;8.0;flexible;0.62;model/images\image-16160427.jpg
Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;36.0;100.0;;1;15;2;1125;15;45;69;340;143;91.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;2.41;model/images\image-434195.jpg
Palacio;Centro;Hostel;Private room;2;1.0;1.0;1.0;60.0;;;1;0;1;1125;23;53;82;172;0;;;;;;;;flexible;;model/images\image-16669645.jpg
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;50.0;150.0;;1;0;7;1125;2;5;5;101;2;60.0;8.0;9.0;9.0;9.0;10.0;7.0;moderate;0.37;model/images\image-13195898.jpg
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;75.0;;30.0;3;20;2;365;9;23;37;312;55;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.87;model/images\image-4368945.jpg
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;54.0;;;1;0;3;1125;0;0;0;0;16;89.0;9.0;8.0;10.0;9.0;10.0;9.0;flexible;2.46;model/images\image-1326972.jpg
Embajadores;Centro;Apartment;Private room;8;2.0;3.0;6.0;150.0;;;4;5;1;90;8;24;33;292;20;92.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;2.93;model/images\image-12978326.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;2.0;31.0;;30.0;1;0;3;1125;0;14;44;319;30;95.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.26;model/images\image-6094591.jpg
Pueblo Nuevo;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;1.0;16.0;;;1;0;1;1125;24;54;84;359;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.42;model/images\image-16856718.jpg
Delicias;Arganzuela;Other;Private room;1;1.0;1.0;1.0;21.0;;;1;8;1;1125;16;40;70;345;5;95.0;9.0;9.0;10.0;10.0;9.0;10.0;flexible;0.6;model/images\image-4036792.jpg
Embajadores;Centro;Bed & Breakfast;Private room;3;2.0;1.0;3.0;37.0;;5.0;1;15;1;31;18;48;78;79;0;;;;;;;;flexible;;model/images\image-14061859.jpg
Guindalera;Salamanca;Apartment;Private room;2;1.0;1.0;2.0;18.0;;;1;17;1;60;1;1;1;268;7;94.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;0.76;model/images\image-13392352.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;70.0;;;1;0;2;1125;11;23;23;23;23;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.1;model/images\image-12760488.jpg
Nueva España;Chamartín;Apartment;Entire home/apt;4;1.0;2.0;3.0;110.0;250.0;35.0;2;15;2;1125;14;44;74;344;5;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.49;model/images\image-17030232.jpg
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;41.0;150.0;25.0;2;10;2;1125;11;29;55;188;34;89.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;3.57;model/images\image-13608886.jpg
Argüelles;Moncloa - Aravaca;Apartment;Private room;1;2.0;1.0;1.0;25.0;;;1;10;1;1125;16;46;76;351;13;92.0;10.0;8.0;10.0;10.0;9.0;9.0;flexible;0.94;model/images\image-11125687.jpg
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;95.0;300.0;70.0;2;20;3;1125;13;43;65;340;2;90.0;8.0;10.0;7.0;9.0;10.0;9.0;strict;0.16;model/images\image-11954336.jpg
Legazpi;Arganzuela;House;Private room;2;1.0;1.0;1.0;25.0;;;1;10;1;1125;18;48;75;342;83;93.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;3.52;model/images\image-5872562.jpg
Universidad;Centro;Apartment;Entire home/apt;6;2.0;2.0;3.0;89.0;103.0;35.0;4;20;2;1125;2;2;2;2;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.0;model/images\image-17234035.jpg
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;71.0;90.0;15.0;2;15;1;1125;2;8;17;288;39;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.33;model/images\image-9477197.jpg
Cortes;Centro;Loft;Entire home/apt;2;1.0;1.0;1.0;70.0;200.0;30.0;1;0;3;60;6;17;38;207;21;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.69;model/images\image-4267425.jpg
Moscardó;Usera;Apartment;Entire home/apt;6;1.0;3.0;4.0;60.0;150.0;25.0;2;10;2;1125;0;0;7;178;22;99.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;1.18;model/images\image-6710942.jpg
Justicia;Centro;House;Private room;1;1.0;1.0;1.0;35.0;;;1;0;2;1125;5;10;21;296;47;94.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.77;model/images\image-5048754.jpg
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;3.0;6.0;86.0;;15.0;1;0;2;1125;6;21;34;295;10;82.0;9.0;7.0;9.0;9.0;9.0;8.0;strict;2.94;model/images\image-16027015.jpg
Universidad;Centro;House;Private room;7;5.0;1.0;7.0;60.0;;;1;60;1;1125;6;36;66;341;12;77.0;8.0;9.0;9.0;9.0;10.0;8.0;flexible;0.57;model/images\image-7085486.jpg
Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;40.0;;;1;0;2;1125;2;10;16;275;50;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;7.61;model/images\image-15094639.jpg
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;42.0;;25.0;2;0;1;20;4;16;34;304;29;81.0;9.0;9.0;9.0;9.0;9.0;8.0;strict;3.25;model/images\image-13384154.jpg
Almendrales;Usera;Apartment;Private room;2;2.0;1.0;2.0;36.0;100.0;;2;10;2;1125;0;0;0;139;4;95.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.22;model/images\image-8807372.jpg
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;75.0;200.0;;4;20;2;1125;5;17;35;188;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.34;model/images\image-12449187.jpg
Guindalera;Salamanca;Apartment;Entire home/apt;5;1.0;2.0;5.0;90.0;;40.0;4;10;3;1000;16;43;73;348;8;97.0;9.0;10.0;10.0;10.0;9.0;9.0;strict;0.41;model/images\image-5327846.jpg
Justicia;Centro;Loft;Entire home/apt;3;1.0;1.0;1.0;95.0;200.0;20.0;2;0;3;60;0;0;3;209;9;83.0;9.0;9.0;9.0;8.0;9.0;9.0;strict;0.2;model/images\image-1041653.jpg
Prosperidad;Chamartín;Apartment;Entire home/apt;2;1.0;1.0;1.0;75.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;;model/images\image-7050862.jpg
Guindalera;Salamanca;Apartment;Entire home/apt;4;2.0;2.0;3.0;61.0;200.0;30.0;1;0;3;1125;6;16;21;91;20;95.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;2.17;model/images\image-13517151.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;1.0;85.0;100.0;24.0;2;15;1;1125;8;27;50;319;35;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.29;model/images\image-14259882.jpg
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;55.0;100.0;25.0;2;25;2;1125;0;0;3;105;10;90.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;1.81;model/images\image-15342321.jpg
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;52.0;;;1;0;2;1125;0;0;0;250;3;60.0;10.0;10.0;10.0;10.0;8.0;6.0;flexible;0.99;model/images\image-16447032.jpg
Almagro;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;58.0;200.0;25.0;1;0;1;1125;7;22;43;71;0;;;;;;;;strict;;model/images\image-16715130.jpg
Chopera;Arganzuela;Apartment;Private room;5;2.0;1.0;5.0;17.0;;10.0;1;15;1;1125;18;48;78;194;29;91.0;9.0;9.0;9.0;10.0;9.0;9.0;moderate;2.11;model/images\image-11218525.jpg
Lucero;Latina;Apartment;Private room;2;2.0;1.0;1.0;21.0;;10.0;1;5;1;1125;20;50;80;355;7;90.0;10.0;9.0;8.0;9.0;9.0;9.0;strict;0.41;model/images\image-9281034.jpg
Pilar;Fuencarral - El Pardo;Loft;Entire home/apt;4;1.0;1.0;2.0;59.0;550.0;19.0;3;8;1;1125;14;44;69;159;0;;;;;;;;strict;;model/images\image-17743640.jpg
Almenara;Tetuán;House;Private room;1;2.0;1.0;1.0;30.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;flexible;;model/images\image-8245491.jpg
Justicia;Centro;Guesthouse;Private room;2;1.0;1.0;1.0;35.0;;;1;0;2;1125;3;33;63;338;0;;;;;;;;flexible;;model/images\image-14346194.jpg
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;95.0;150.0;25.0;4;10;2;1125;0;3;11;66;78;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;7.6;model/images\image-13185158.jpg
Lista;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;30.0;100.0;;1;15;1;1125;15;41;71;161;187;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;6.1;model/images\image-4203619.jpg
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;3.0;65.0;250.0;;2;20;3;365;0;0;7;282;3;93.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;1.58;model/images\image-13529348.jpg
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;50.0;90.0;5.0;1;0;1;20;0;27;57;57;0;;;;;;;;strict;;model/images\image-14054796.jpg
Palacio;Centro;Apartment;Private room;4;1.0;1.0;2.0;50.0;;25.0;2;25;2;1125;13;31;54;329;12;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.08;model/images\image-11524307.jpg
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;54.0;100.0;30.0;2;10;2;1125;10;27;45;319;93;96.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.69;model/images\image-679602.jpg
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;68.0;200.0;40.0;2;15;3;1825;10;22;40;277;13;90.0;10.0;10.0;9.0;9.0;10.0;10.0;strict;0.31;model/images\image-746742.jpg
Palos de Moguer;Arganzuela;Bed & Breakfast;Private room;1;1.0;1.0;1.0;39.0;120.0;12.0;1;0;2;30;18;48;78;353;12;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.01;model/images\image-10708680.jpg
Comillas;Carabanchel;Apartment;Private room;2;1.0;2.0;2.0;23.0;;;1;7;1;1125;18;48;78;79;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.4;model/images\image-16685459.jpg
Palacio;Centro;Apartment;Private room;2;2.0;1.0;1.0;25.0;;15.0;1;5;10;1125;0;0;10;285;1;40.0;6.0;2.0;6.0;4.0;8.0;4.0;strict;0.05;model/images\image-6550665.jpg
Prosperidad;Chamartín;House;Private room;2;2.0;1.0;1.0;35.0;;;1;0;1;1125;14;39;67;342;48;91.0;9.0;9.0;10.0;10.0;9.0;9.0;flexible;3.06;model/images\image-9773037.jpg
Bellas Vistas;Tetuán;Apartment;Entire home/apt;4;1.0;2.0;2.0;85.0;150.0;25.0;1;0;2;10;4;11;29;262;41;99.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;5.64;model/images\image-14548682.jpg
Embajadores;Centro;Bed & Breakfast;Private room;1;1.0;1.0;1.0;35.0;;10.0;1;0;1;2;8;8;8;105;17;88.0;9.0;10.0;9.0;10.0;10.0;9.0;flexible;0.71;model/images\image-6069525.jpg
Concepción;Ciudad Lineal;Apartment;Entire home/apt;11;2.0;2.0;4.0;130.0;;40.0;1;0;2;1125;17;45;71;218;3;100.0;10.0;9.0;9.0;10.0;8.0;9.0;flexible;1.84;model/images\image-17071290.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;45.0;;15.0;1;10;3;1125;6;28;54;235;117;95.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;4.14;model/images\image-4725879.jpg
Arapiles;Chamberí;Apartment;Private room;1;0.5;1.0;1.0;28.0;;;1;0;1;3;22;52;82;83;6;92.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;1.01;model/images\image-15474801.jpg
Justicia;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;45.0;;20.0;2;8;3;1125;10;30;57;332;41;88.0;9.0;10.0;9.0;9.0;10.0;9.0;moderate;2.22;model/images\image-7908267.jpg
Cortes;Centro;Condominium;Entire home/apt;3;1.0;0.0;3.0;100.0;;;1;0;1;1125;5;17;34;213;0;;;;;;;;flexible;;model/images\image-14497442.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;2.0;2.0;180.0;100.0;;1;0;4;1125;2;31;61;336;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.36;model/images\image-15244440.jpg
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;2.0;175.0;;;1;0;4;1125;0;0;0;250;1;80.0;10.0;10.0;10.0;10.0;10.0;8.0;strict;0.03;model/images\image-3832596.jpg
Vallehermoso;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;3.0;130.0;300.0;90.0;1;0;3;1125;18;48;78;353;4;85.0;10.0;10.0;9.0;9.0;8.0;9.0;strict;0.42;model/images\image-6962914.jpg
Goya;Salamanca;Other;Entire home/apt;2;1.0;0.0;1.0;45.0;200.0;15.0;1;0;3;1125;5;21;36;127;45;96.0;10.0;10.0;10.0;9.0;10.0;10.0;moderate;3.25;model/images\image-10847533.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;50.0;;;2;10;4;1125;7;15;36;288;150;93.0;9.0;10.0;10.0;10.0;9.0;9.0;flexible;2.57;model/images\image-493238.jpg
Cortes;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;64.0;400.0;60.0;1;10;2;1125;0;0;0;65;0;;;;;;;;strict;;model/images\image-15951788.jpg
Chopera;Arganzuela;Apartment;Private room;2;2.0;1.0;1.0;35.0;;10.0;1;0;2;10;5;18;41;41;50;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.42;model/images\image-9294338.jpg
Palomeras Bajas;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;21.0;;;1;15;1;1125;0;0;0;0;1;80.0;10.0;8.0;10.0;10.0;8.0;8.0;strict;0.15;model/images\image-11338776.jpg
Delicias;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;52.0;;;3;5;2;1125;2;5;16;91;53;92.0;10.0;9.0;9.0;10.0;9.0;9.0;moderate;3.67;model/images\image-10533378.jpg
Universidad;Centro;Apartment;Private room;1;1.0;1.0;1.0;28.0;;;1;10;3;1125;0;0;0;218;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.04;model/images\image-868025.jpg
Alameda de Osuna;Barajas;Apartment;Private room;2;1.0;1.0;2.0;20.0;;5.0;1;20;1;1125;0;3;33;34;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.71;model/images\image-16287124.jpg
Mirasierra;Fuencarral - El Pardo;Apartment;Entire home/apt;6;2.0;3.0;5.0;100.0;;100.0;5;20;7;1125;29;59;89;89;0;;;;;;;;flexible;;model/images\image-13580957.jpg
Legazpi;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;19.0;;;1;7;2;99999;0;0;0;96;6;100.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;0.12;model/images\image-896291.jpg
Fuente del Berro;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;1.0;30.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;;model/images\image-10748337.jpg
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;2;1.0;0.0;1.0;37.0;;15.0;1;0;3;250;8;38;68;69;21;88.0;9.0;8.0;9.0;10.0;9.0;9.0;strict;3.09;model/images\image-10192147.jpg
Aguilas;Latina;House;Private room;1;1.0;1.0;1.0;20.0;;;1;0;1;1125;22;52;82;172;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.38;model/images\image-15236083.jpg
Pacífico;Retiro;Apartment;Private room;1;3.0;1.0;1.0;28.0;100.0;5.0;1;0;3;40;0;6;36;126;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.16;model/images\image-14099709.jpg
Casco Histórico de Barajas;Barajas;Apartment;Private room;1;1.0;1.0;1.0;23.0;;;1;0;1;1125;2;6;36;311;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.38;model/images\image-15754269.jpg
Arapiles;Chamberí;Condominium;Entire home/apt;2;1.0;1.0;1.0;50.0;300.0;40.0;1;0;5;1125;16;46;76;351;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.06;model/images\image-6407315.jpg
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;73.0;90.0;26.0;1;0;1;1125;0;0;0;0;20;88.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;2.87;model/images\image-14627962.jpg
Recoletos;Salamanca;Apartment;Entire home/apt;4;2.0;2.0;3.0;160.0;350.0;60.0;3;30;3;1125;16;46;76;351;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.73;model/images\image-16646591.jpg
Goya;Salamanca;House;Entire home/apt;5;2.5;3.0;5.0;130.0;100.0;80.0;5;15;2;1125;5;5;5;25;11;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.13;model/images\image-15606231.jpg
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;39.0;;10.0;1;10;1;1125;4;26;36;251;3;93.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;1.45;model/images\image-16913574.jpg
Cortes;Centro;Apartment;Private room;2;1.0;1.0;2.0;37.0;100.0;;2;17;1;1125;2;6;19;136;175;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;7.52;model/images\image-6279281.jpg
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;20.0;;15.0;1;0;10;1125;0;6;36;311;1;60.0;10.0;4.0;10.0;10.0;10.0;8.0;strict;0.05;model/images\image-3861185.jpg
Cortes;Centro;Apartment;Entire home/apt;6;1.0;3.0;3.0;120.0;96.0;40.0;3;10;2;1125;7;17;37;312;12;90.0;9.0;9.0;9.0;9.0;10.0;9.0;flexible;4.0;model/images\image-16472683.jpg
Pacífico;Retiro;Apartment;Private room;1;3.0;1.0;1.0;27.0;100.0;5.0;1;0;3;30;0;6;36;126;0;;;;;;;;moderate;;model/images\image-14082107.jpg
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;90.0;150.0;35.0;3;10;2;36;16;44;69;344;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;model/images\image-17947473.jpg
Goya;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;39.0;;;1;0;1;1125;9;15;15;281;8;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.52;model/images\image-9236168.jpg
Almendrales;Usera;Bed & Breakfast;Private room;1;1.0;1.0;1.0;17.0;90.0;9.0;1;0;3;1125;17;47;77;77;52;95.0;10.0;9.0;9.0;10.0;9.0;10.0;moderate;3.16;model/images\image-8606517.jpg
Jerónimos;Retiro;Apartment;Entire home/apt;4;1.0;0.0;2.0;60.0;300.0;40.0;2;20;3;1125;13;24;46;208;2;100.0;10.0;8.0;10.0;9.0;10.0;10.0;strict;0.14;model/images\image-10676318.jpg
Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;3.0;60.0;173.0;25.0;2;10;2;1125;0;0;0;3;0;;;;;;;;strict;;model/images\image-14305002.jpg
